Datum,Konsumtion,Temperatur,Nederbördsmängd,Vindriktning,Vindhastighet,Lufttryck,Daggpunktstemperatur,K2_regression
2013-01-01,87.30814162587758,3.9,7.6,249.125,3.5250000000000004,1009.5791666666664,2.520833333333333,88.9054697261142
2013-01-02,89.94156585125208,6.4,0.0,266.4583333333333,7.1916666666666655,1012.6958333333336,4.6208333333333345,72.35201715397153
2013-01-03,83.25671974068605,6.0,0.4,301.9166666666667,5.833333333333335,1018.7750000000001,4.4208333333333325,75.00056956551437
2013-01-04,87.71328381439673,2.4,1.2,144.95833333333334,1.1416666666666668,1026.1166666666668,2.1583333333333337,98.83754126939981
2013-01-05,86.09271506032013,4.4,1.9,196.91666666666666,1.8333333333333337,1022.1541666666668,3.7624999999999997,85.59477921168568
2013-01-06,87.71328381439673,2.1,5.5,150.83333333333334,2.4666666666666663,1026.3625000000002,1.0833333333333333,100.82395557805694
2013-01-07,99.25983618719263,4.2,0.0,226.54166666666666,2.0125,1019.4000000000002,3.9333333333333336,86.91905541745709
2013-01-08,92.98013226514576,4.5,14.4,203.79166666666666,3.1041666666666665,1012.2125,4.0125,84.93264110879997
2013-01-09,91.35956351106914,-0.1,0.0,123.41666666666667,5.875,1007.1624999999999,-2.2000000000000006,110.04026557665985
2013-01-10,100.67783384700965,-1.7,0.2,168.33333333333334,5.245833333333333,1013.6999999999998,-5.041666666666667,116.55772987815867
2013-01-11,111.6166729370268,-2.4,0.0,34.208333333333336,3.954166666666667,1020.4333333333333,-5.637500000000002,119.40912051006441
2013-01-12,119.51694561315031,-2.6,0.0,56.833333333333336,3.4041666666666672,1024.2416666666666,-5.470833333333334,120.22380354775176
2013-01-13,121.94779874426521,-2.9,2.4,92.54166666666667,3.3958333333333344,1018.4874999999997,-6.012499999999999,121.4458281042828
2013-01-14,127.01207610075464,-6.9,0.4,126.125,1.4083333333333332,1010.6583333333336,-7.704166666666667,137.73948885802986
2013-01-15,126.60693391223549,-10.4,0.0,56.625,1.2916666666666667,1014.5625000000001,-11.704166666666666,151.99644201755854
2013-01-16,136.9380597194739,-6.8,0.0,58.541666666666664,2.7458333333333336,1020.8250000000002,-8.55,137.33214733918618
2013-01-17,138.35605737929095,-5.7,0.0,50.375,3.6624999999999996,1019.1166666666668,-7.495833333333333,132.85139063190576
2013-01-18,139.5714839448484,-7.6,0.0,46.666666666666664,3.7875,1011.066666666667,-9.816666666666666,140.5908794899356
2013-01-19,142.81262145300164,-8.8,0.0,34.541666666666664,2.8708333333333336,1008.1750000000002,-10.962499999999999,145.47897771605972
2013-01-20,148.07946990375063,-5.2,0.0,53.291666666666664,4.874999999999999,1011.7166666666667,-7.9375,130.81468303768736
2013-01-21,138.76119956781008,-3.7,0.0,63.25,3.4,1014.1749999999998,-6.9750000000000005,124.7045602550322
2013-01-22,133.49435111706111,-5.1,0.0,19.541666666666668,2.904166666666667,1014.3208333333337,-8.095833333333331,130.40734151884368
2013-01-23,136.9380597194739,-7.1,0.0,51.875,2.0333333333333328,1017.5083333333333,-10.279166666666667,138.55417189571722
2013-01-24,131.87378236298449,-7.7,0.0,121.29166666666667,1.3500000000000003,1021.1,-9.374999999999998,140.99822100877924
2013-01-25,141.192052698925,-3.8,2.2,173.95833333333334,5.0249999999999995,1011.5458333333332,-6.333333333333333,125.11190177387589
2013-01-26,137.9509151907718,-0.6,2.8,171.45833333333334,4.5125,1000.0333333333332,-1.133333333333333,112.07697317087822
2013-01-27,133.49435111706111,1.2,2.1,191.65217391304347,3.6260869565217395,1003.9416666666666,0.591304347826087,104.74482583169205
2013-01-28,117.8963768590737,2.6,9.9,195.91666666666666,3.9833333333333325,998.5666666666665,1.8625,97.5132650636284
2013-01-29,110.40124637146934,5.3,3.6,219.33333333333334,4.616666666666667,992.0541666666664,3.554166666666667,79.63553628571432
2013-01-30,102.906115883865,4.4,0.0,250.5,6.8041666666666645,990.9041666666667,1.7749999999999997,85.59477921168568
2013-01-31,103.10868697812458,0.5,2.9,192.29166666666666,1.8375000000000001,994.6125000000001,-0.21250000000000005,107.59621646359778
2013-02-01,107.56525105183526,-2.1,0.0,289.8333333333333,3.154166666666667,998.4166666666669,-3.0375,118.18709595353337
2013-02-02,110.19867527720976,-2.1,0.4,206.375,2.6666666666666665,1003.3958333333335,-2.0541666666666667,118.18709595353337
2013-02-03,114.45266825666087,1.5,5.0,226.04166666666666,4.599999999999999,992.9499999999998,0.4083333333333335,103.52280127516102
2013-02-04,114.0475260681417,1.0,3.1,230.70833333333334,3.7083333333333326,988.5124999999999,-0.37083333333333335,105.5595088693794
2013-02-05,116.68095029351622,0.1,1.1,294.0833333333333,3.470833333333333,991.9375,-0.8750000000000001,109.22558253897249
