Datum,Temperatur,Nederbördsmängd,Vindriktning,Vindhastighet,Lufttryck,Daggpunktstemperatur
2017-01-01,0.3,0.0,307.6666666666667,2.970833333333333,1012.3083333333334,-2.833333333333334
2017-01-02,3.4,4.0,251.375,4.8500000000000005,1002.2125,1.5374999999999996
2017-01-03,1.1,0.0,169.70833333333334,7.525000000000002,999.0374999999998,-3.4708333333333328
2017-01-04,-7.1,0.0,33.25,4.8791666666666655,1032.1333333333337,-12.770833333333336
2017-01-05,-8.0,0.1,141.04166666666666,2.3291666666666666,1039.6625000000001,-12.483333333333329
2017-01-06,-1.0,3.4,143.41666666666666,3.8458333333333314,1024.0208333333333,-2.254166666666667
2017-01-07,-1.4,0.0,158.04166666666666,2.2416666666666667,1028.3041666666668,-1.6083333333333334
2017-01-08,1.8,0.3,204.375,3.8833333333333333,1020.525,1.4666666666666668
2017-01-09,0.7,0.2,168.29166666666666,5.008333333333333,1010.4833333333332,-0.3791666666666668
2017-01-10,2.4,4.6,203.95833333333334,7.358333333333332,992.9666666666668,1.3416666666666668
2017-01-11,3.0,0.0,244.16666666666666,5.720833333333334,990.7291666666666,0.4333333333333333
2017-01-12,0.3,0.0,166.0,1.4666666666666666,991.4791666666666,-0.25833333333333336
2017-01-13,-0.4,1.0,220.25,1.7499999999999993,998.5625,-0.45416666666666666
2017-01-14,-1.9,0.0,276.75,3.4999999999999996,1014.2166666666668,-3.283333333333333
2017-01-15,-3.3,0.0,218.29166666666666,2.758333333333333,1026.5708333333332,-4.8625
2017-01-16,-1.7,0.0,169.91666666666666,2.0541666666666667,1035.6833333333332,-3.5833333333333335
2017-01-17,1.6,0.8,229.625,3.6916666666666664,1034.8875,1.133333333333333
2017-01-18,4.4,0.0,252.33333333333334,3.2000000000000006,1032.2958333333333,3.9041666666666655
2017-01-19,5.4,0.0,275.7083333333333,3.400000000000001,1030.0541666666666,4.120833333333333
2017-01-20,2.6,0.0,214.875,1.2333333333333332,1030.3083333333334,2.2249999999999996
2017-01-21,2.1,0.0,190.83333333333334,1.6624999999999999,1028.1208333333332,2.0083333333333333
2017-01-22,1.8,0.0,247.625,2.5708333333333333,1022.7041666666664,1.1375
2017-01-23,2.4,0.0,267.3333333333333,2.408333333333333,1024.9875000000004,2.3125000000000004
2017-01-24,1.0,0.0,260.5416666666667,2.5416666666666665,1030.7291666666665,0.7083333333333335
2017-01-25,0.1,0.0,203.70833333333334,2.1583333333333337,1031.3958333333333,-0.9458333333333333
2017-01-26,0.4,0.2,136.375,2.183333333333333,1024.75,-0.8958333333333336
2017-01-27,-0.2,0.0,133.25,1.970833333333333,1020.7208333333334,-1.4083333333333334
2017-01-28,0.9,1.5,180.625,3.5833333333333335,1016.0083333333336,0.3416666666666672
2017-01-29,1.9,0.0,121.20833333333333,2.4041666666666663,1017.1458333333334,1.6500000000000001
2017-01-30,1.5,0.0,82.54166666666667,3.066666666666667,1021.0083333333333,0.054166666666666675
2017-01-31,0.9,0.0,135.83333333333334,2.9374999999999996,1021.6458333333331,-0.7916666666666669
2017-02-01,0.2,0.0,145.16666666666666,4.145833333333333,1014.3958333333334,-1.0708333333333335
2017-02-02,0.5,0.1,121.375,3.629166666666667,1009.1250000000001,0.033333333333333354
2017-02-03,2.3,2.1,125.95833333333333,3.5416666666666665,1005.4708333333334,1.9666666666666661
2017-02-04,1.4,1.4,87.5,3.3375,1010.0500000000002,1.070833333333333
2017-02-05,0.2,0.2,60.666666666666664,4.795833333333333,1024.7833333333333,-1.9041666666666668
2017-02-06,-2.4,0.3,64.375,5.099999999999999,1030.2124999999999,-5.570833333333333
2017-02-07,-3.1,2.2,61.208333333333336,5.420833333333332,1034.2291666666667,-5.033333333333334
2017-02-08,-3.4,0.2,75.29166666666667,2.4458333333333333,1036.4916666666668,-5.258333333333332
2017-02-09,-0.8,0.0,84.5,3.3499999999999996,1034.1833333333336,-2.966666666666667
2017-02-10,-0.8,0.0,83.08333333333333,4.445833333333334,1034.7458333333334,-4.4750000000000005
2017-02-11,-0.8,0.0,73.33333333333333,3.375,1038.9416666666668,-5.229166666666666
2017-02-12,-3.6,0.0,131.125,1.3041666666666665,1039.979166666667,-6.104166666666667
2017-02-13,-0.0,0.0,216.41666666666666,1.0625000000000002,1036.5749999999998,-2.1499999999999995
2017-02-14,0.8,0.0,150.70833333333334,1.6999999999999995,1032.9541666666662,-3.016666666666667
2017-02-15,2.7,0.1,194.41666666666666,3.0250000000000004,1022.8375,1.504166666666667
2017-02-16,3.5,1.0,264.0416666666667,1.804166666666666,1017.8125,3.4000000000000004
2017-02-17,2.1,0.5,244.20833333333334,2.7750000000000004,1020.5708333333331,1.9791666666666667
2017-02-18,4.6,1.3,233.70833333333334,3.891666666666666,1011.9,4.075000000000001
2017-02-19,6.2,9.1,246.20833333333334,5.883333333333333,1000.1250000000003,5.395833333333333
2017-02-20,5.7,6.9,272.75,6.058333333333333,999.3499999999999,2.4749999999999996
2017-02-21,5.8,0.4,237.5,6.791666666666665,988.2874999999999,2.6166666666666667
2017-02-22,3.0,12.9,200.83333333333334,4.450000000000001,985.8833333333333,1.1541666666666666
2017-02-23,0.2,0.0,262.2083333333333,3.7708333333333335,999.4666666666668,-2.0125
2017-02-24,0.5,7.0,224.70833333333334,3.8166666666666664,1010.5666666666666,-0.11666666666666681
2017-02-25,5.6,3.4,236.20833333333334,3.7291666666666674,1001.65,5.558333333333334
2017-02-26,6.6,0.4,182.0,4.470833333333333,998.333333333333,5.708333333333333
2017-02-27,4.9,1.1,182.45833333333334,5.145833333333335,987.1166666666668,2.779166666666667
2017-02-28,4.7,1.8,213.25,5.387499999999999,992.0666666666666,2.079166666666667
